,Sentence
0,He was at work again
1,His manner was not effusive
2,And yet you have seen
3,But the note itself
4,Hold it up to the light
5,Stay where you are
6,Here he comes
7,I was young
8,I am but thirty now
9,It must be bought
10,And she will do it
11,That will be next Monday
12,I shall be all anxiety
13,He is a Mr
14,He was a lawyer
15,Of her I could see nothing
16,It is nearly five now
17,Do not join in it
18,There is that double possibility
19,There is a comfortable sofa
20,It is all right
21,It is an old trick
22,Very much so
23,And no later than this morning
24,Duncan Ross was
25,He did tell me the address
26,William Morris or Mr
27,You have lost nothing by them
28,My practice is never very absorbing
29,Very retiring and gentlemanly he was
30,It was to be at St
31,It was the bisulphate of baryta
32,Air and scenery perfect
33,Singularity is almost invariably a clue
34,James never did it
35,No one but Mr
36,Mark that point
37,It is of importance
38,He put less weight upon it
39,He had even smoked there
40,He was a devil incarnate
41,But there I was firm
42,I stood firm
43,I would do it again
44,Kindly sign the paper where Mr
45,Nothing of the sort
46,Nothing but energy can save you
47,This is no time for despair
48,Same old platform
49,It must be done at once
50,We have already a clue
51,It is probable
52,In this way you see K
53,It is Wednesday
54,But I must owe something
55,I can do nothing for myself
56,But our trap should be here
57,Jump up here
58,Give her her head
59,As to Mrs
60,It was Neville St
61,Here we are
62,But come in
63,Let us now see the letter
64,All will come well
65,It is unthinkable
66,I distinctly saw his bare throat
67,Step into my room here
68,But he is a dirty scoundrel
69,Come this way
70,I know him from the photograph
71,Only one man knew my secret
72,Its owner is unknown
73,It is the precious stone
74,Every good stone is
75,I dine at seven
76,Baker with a sigh of relief
77,Just read it out to me
78,There you are
79,You bring Mrs
80,Henry Baker is a member
81,Head attendant at the Hotel Cosmopolitan
82,I have it herein my museum
83,I swear it
84,It is terror
85,Pray proceed with your statement
86,It was a wild night
87,That is important
88,You are screening your stepfather
89,It may stop his gossip
90,This is very interesting
91,Let me explain
92,I took a step forward
93,Then I thought of the whistle
94,The passage outside was empty
95,But that is a mere detail
96,It was a chestnut
97,I should not stay here
98,But never mind that
99,This is my point
100,It is three now
101,That is what Mr
102,Simon shook his head
103,It is this infernal St
104,Simon marriage case
105,And here is the very note
106,Come at once
107,Let me see it
108,I congratulate you warmly
109,Simon is a myth
110,They have laid for five
111,Then Lord St
112,Simon in particular
113,Very likely I have
114,She is my right hand
115,And you know where they are
116,Mary and I stay at home
117,So long was he that Mr
118,We must come back to that
119,It is all dark to me
120,Nothing to complain of
121,Three thousand will cover the matter
122,They have now fled together
123,She told him of the coronet
124,So far I was clear
125,It was I
126,I went and saw him
127,Logic is rare
128,Charming rural place
129,Let me know your train
130,I cannot tell
131,I shall write to Mr
132,I confess that I was disappointed
133,She rose at once
134,They were evidently all deserted
135,They were all horrible to me
136,I would send you a wire
137,There only remains Mrs
138,So much is fairly clear
